Unnamed: 0,id,scene,subject,script,intention
34,WMBOO,Pantry,ZAWX,"A person opens the door to the pantry and begins stocking it with some groceries. The person picks up a roll of paper towels from the floor and places it on the shelf, then leaves.",stocking
35,3C36H,Basement (A room below the ground floor),XXN8,"Person is sitting on chair doing homework, Another person opening bag and starts sneezing.",sneezing
36,J40UT,Bathroom,EIO2,"A person in a bathroom is holding a glass. The person drinks the last of the coffee in a glass, then washes a glass in the sink. And begins tidying up the bathroom.",tidying
37,PKEZI,Bedroom,BYF9,"Person A is in a bedroom eating a plate of food and reading a book.  Done eating, person A gets up and walks over to the wardrobe and begins undressing.",undressing
39,V1PRP,Stairs,4OHY,A person is seen snuggling while sitting on a chair. They begin vacuuming the stairs while standing up.,vacuuming
41,AEZDA,Hallway,UO0Z,A person is eating from a bag of groceries in a hallway then starts playing with a vacuum.,playing
42,WEYV3,Home Office / Study (A room in a house used for work),4OHY,A person is seen eating a sandwich at their desk. They begin holding their phone to make a call.,holding
43,A4SR3,Recreation room / Man cave,QB52,A person is eating while watching television. The person begins laughing and places their food on the table.,laughing
44,2JKR8,Kitchen,PKND,A person is using a broom. After they are finished they leave it in the sink and begin taking some food to bring into another room.,taking
45,29T54,Closet / Walk-in closet / Spear closet,KFGP,"One person stands and starts undressing, opening a wardrobe cabinet to get clothes.",undressing
46,VSWNF,Stairs,9Y7F,A person is sitting on the stairs with a blanket.  The person then starts tidying a pile of homework.,tidying
47,T03KF,Closet / Walk-in closet / Spear closet,LTAC,The person is looking through their wardrobe and throwing clothes on the floor. They pick food up and begin eating it.,eating
48,FBIVN,Bedroom,DXDI,"A person is standing in the doorway, closes the door and grabs a pillow off a shelf and begins holding it.",holding
50,IVJWH,Living room,5LWB,A person is putting clothes on the sofa and begins sneezing at the smell of the food.,sneezing
52,48CYX,Bathroom,HJJ4,A person undresses in the bathroom. They begin washing themselves with a washcloth. They take a book from atop a shelf and walk out.,washing
54,RXLKF,Living room,P6LJ,A person is reading a book while snuggling on the sofa. They put the book down and begin standing while holding a cup of coffee,standing
55,IJWV9,Bedroom,EXQX,"A person is sitting on the bed. The person begins drinking from a glass, watching himself in the mirror.",drinking
56,GT53K,Entryway (A hall that is generally located at the entrance of a house),ID9V,"A person walks to a light and turns it on, then they begin eating food.",eating
57,MJPET,Stairs,1TZV,A person is tidying books left on the stairs before the person begins washing a chair.,washing
58,1U9TF,Hallway,PO5L,Person is standing by door with vacuum cleaner then starts sneezing.,sneezing
59,LOSLI,Entryway (A hall that is generally located at the entrance of a house),KFGP,"Person 1 is standing in the doorway to the laundry room. They are taking off their shoes very slowly, one at a time, and then putting the shoes on a small table next to the washing machine. Person 1 then starts sneezing.",sneezing
60,24XHS,Kitchen,S053,"The person begins eating medicine, and then begins laughing while opening the refrigerator",eating
61,409X2,Laundry room,OUKK,One person grasps a blanket for coverage and starts undressing in the chair.,undressing
62,2XT4N,Recreation room / Man cave,3H6W,"One person starts tidying up a shelf full of shoes and pictures, then runs out of the room, grasping a light on the way.",tidying
63,JCGWC,Kitchen,ZSRZ,A person is standing in front of a refrigerator in a kitchen. They begin cooking on a stove.,cooking
65,X8I9J,Living room,XXN8,"A person walks through a door laughing. And, they begin undressing starting with their shoes.",undressing
66,Y98NJ,Living room,WG9D,A person is seen laughing while looking at a picture on their phone. They then close their phone and begin leaving.,leaving
67,IACBH,Bedroom,6RE8,A person is seen watching television and putting away clothes. They begin snuggling with a blanket and laying on a couch.,snuggling
68,BXL9D,Bathroom,Z68L,Person is tidying up bathroom then starts washing food off doorknob.,washing
69,COPHL,Living room,EIO2,Person is awakening from falling asleep behind desk and opens book and starts doing homework.,doing
70,AZZ3W,Bedroom,4OHY,"A person throws some dirty clothes from a chair. The person begins dressing, and finally puts on shoes.",dressing
71,L36YT,Living room,BYF9,A person grasps a broom and begins cleaning underneath a table. Another person throws a ball onto a sofa and sits down.,cleaning
72,POU1Z,Closet / Walk-in closet / Spear closet,3VLX,"A person is tidying the closet and starts running the vacuum. They stop, pick up a broom and the vacuum and leave.",running
73,E891N,Living room,2RTW,A Person holding a blanket around themselves and wearing nothing else but socks opens a wardrobe and begins talking to themselves about what they are going to wear today.,talking
74,KT3MJ,Kitchen,HR43,"A person grasps a heavy pot from the refrigerator, puts it on the stove, opens the lid to peek in, then starts cooking.",cooking
77,SILHS,Living room,D0RU,A person is holding a blanket. The person puts it into the wardrobe and begins walking over to the television.,walking
78,H5TGJ,Bedroom,0KZ7,"A person awakens in a bedroom, takes a sweater from a bag and begins dressing in front of  a mirror.",dressing
79,0BXRP,Kitchen,AH2J,"One person grasps a bag of groceries by the sink and opens it up. Then, this person starts cooking at the stove.",cooking
80,R08G9,Bedroom,YMXV,Person is grasping clothes. Another person is looking out window and starts sneezing.,sneezing
81,E2Q68,Kitchen,T7C3,A person is standing next to a mirror then starts opening a bag full of groceries.,opening
82,WTUGM,Bedroom,WG9D,A person is seen closing a box while taking out a camera. They begin snuggling up next the window with a blanket.,snuggling
84,LJ2J6,Living room,C7O9,"Person holding broom, picks up towel from floor and throws it on couch. Person begins tidying up pillows on couch.",tidying
85,YFI1M,Closet / Walk-in closet / Spear closet,KFGP,"A person begins undressing and grasping for new clothing. Their phone buzzes, and they reach for it and open it up.",undressing
86,8GRE9,Kitchen,XXN8,"A person takes their phone from the shelf, sits down, and begins playing with it.",playing
87,YZI2P,Living room,OUKK,A person is seen closing the refrigerator door. They sit down in the sofa and begin playing a video game.,playing
88,7G0HB,Kitchen,P6LJ,"A person looks through the entryway of his house to see some dishes on the kitchen table. The person begins walking towards them when they start sneezing out of nowhere. The person blows their nose, heads to the refrigerator and ignores the dirty dishes. The person opens the fridge, looks around and closes it. They walk to the table where they look frustrated because they see homework on the table next to the dishes that the person forgot to do.",walking
89,YJ06D,Recreation room / Man cave,P6LJ,A person is walking through the door. The person turns the light on and begins laughing as the person opens the wardrobe.,laughing
90,GJJA1,Bedroom,6PZN,A person in the closet is holding some medicine in one hand a pillow in the other hand. They begin putting both items down and start playing with their phone.,putting
91,P3EW1,Living room,DLI2,A smiling person is sitting on a sofa in a living room taking off their shoes. The person starts eating a cookie.,eating
92,C5044,Living room,2RTW,"Person walks into the living room while eating a sandwich.  Person turns on television and stands in front of it.  Person picks up bottle from coffee table, opens the bottle, and starts drinking.",drinking
94,IQ0ZX,Living room,WQ8Z,"A person is snuggling with a blanket, then the person begins grasping a cup of coffee.",grasping
95,Y05U8,Dining room,ZEM0,"A person is standing in the kitchen, reading a book. The person puts the book down and takes out their phone. The person grabs their coat and begins dressing to go outside.",dressing
97,3VEJY,Bedroom,HJJ4,A person is running around the bedroom with a pillow.  The person puts it down and then starts grasping at a bag.,grasping
98,S8X4A,Bathroom,QB52,A person in a bathroom starts sneezing and they walk out of the bathroom and set on their bed and turn on a television and start watching what is on the screen.,sneezing
100,MUI01,Bedroom,XXN8,"A person is grasping an armful of clothes. Then, standing, the person walks over to the television and begins dressing in front of it.",dressing
101,MFQ5S,Kitchen,H8N1,Person is washing cabinet and shelf with cloth and starts smiling after looking at television.,smiling
102,5CZRC,Kitchen,9Y7F,A person is standing over the sink holding a sandwich. The person begins drinking water from a glass as the person eats.,drinking
103,8K46I,Bedroom,PO5L,A person sitting on the bed begins undressing while watching the television.,undressing
105,01ZWG,Recreation room / Man cave,6RE8,"A person puts a laptop down onto a desk. The person sits at the desk, opens the laptop, and begins playing a game.",playing
106,7UV4O,Bedroom,F56T,A person in the living room is putting a pillow onto the bed. They begin watching some food that is on a table nearby that person.,watching
108,Z4Y02,Kitchen,7I3D,A person is standing in the kitchen with the refrigerator door open. They close the door and begin cooking on the stove.,cooking
109,VRMNI,Kitchen,9Y7F,A person walks into the kitchen after opening the door.  The person turns on the light and starts washing the dishes as the person stands at the sink.  The person then starts putting the dishes on the shelf.,washing
110,450TW,Living room,L4ZP,A person is snuggling on the couch with a book and begins eating food. Their phone rings and they answer taking the call.,eating
111,NSKMC,Dining room,QOQ4,A person is sitting on a chair next to a dining table. This person is doing their homework. The person is drinking a cup of water. The person starts closing the school book.,closing
112,SMLI0,Home Office / Study (A room in a house used for work),PKND,A person is holding a picture while sitting at a desk. They put the picture down and begin tidying up their desk area.,tidying
113,L1MR4,Entryway (A hall that is generally located at the entrance of a house),WQ8Z,"A person is tidying up the entryway, and picks up some dirty dishes. The person walks over to the vacuum, but instead pulls out their phone and starts playing with it.",playing
114,154TJ,Hallway,QOQ4,Walking down the hallway a person holding their homework in their left hand.  They stop and begin putting the homework into a box.,putting
115,FQ9QX,Living room,OUKK,Person grabs broom and starts tidying up a floor then picks up pillow from floor and starts sneezing.,tidying
116,A7OCU,Bathroom,9PLL,"A person in the bathroom is throwing some things into a trash can. They begin dressing by putting a jacket on, and then they put some dishes onto a chair in the bathroom.",dressing
117,UY7BK,Home Office / Study (A room in a house used for work),YMXV,"A person is walking into the room, holding their phone. The person begins smiling as the person looks out the window.",smiling
118,OWZCZ,Kitchen,ZSRZ,"Person is walking to refrigerator to get egg, then starts cooking it on stove while holding kitchen towel.",cooking
119,CIG76,Bathroom,3VLX,"Person is standing by door holding a book and drinking bottle of water, then starts pouring the rest of water in sink.",pouring
120,KTQEL,Living room,9PLL,A person is standing with their hand on the doorknob. Then the person begins walking into the room and puts a picture on the shelf.,walking
121,372CC,Recreation room / Man cave,6RE8,A person on working on their laptop looks at a picture and starts sneezing.,sneezing
122,AMP3N,Entryway (A hall that is generally located at the entrance of a house),YMXV,A person working on a laptop begins undressing in front of the mirror.,undressing
124,YPQ97,Bedroom,PKND,"A person is holding a broom and a pair of shoes. The person puts the shoes on, then begins sweeping the floor with the broom.",sweeping
125,QQ9RN,Entryway (A hall that is generally located at the entrance of a house),ID9V,A person is sneezing in the doorway then begins laughing at the television.,laughing
126,4T97L,Basement (A room below the ground floor),KQI6,One person drinks coffee as another person runs in and starts tidying up a messy wardrobe.,tidying
127,35P3Q,Bathroom,Z68L,"A person in a bathroom gasping dishes washes them in the sink. The person begins tidying up their bathroom, grabs a pile of clothes and leaves.",tidying
129,4F76V,Kitchen,Z68L,A person is cooking while looking at their homework. The person then begins running and grabs the doorknob.,running
130,S8TI7,Bedroom,Z68L,A person is sitting in the bedroom holding a sandwich. The begin eating and then start laughing out the window.,eating
131,VICUM,Kitchen,HR43,"A person is standing at the refrigerator, sneezing. They begin opening and closing the door, repeatedly. Finally, they pull clothes out of the refrigerator and walk away.",opening
132,UK8KW,Entryway (A hall that is generally located at the entrance of a house),LWUV,A person stands in the door holding a sandwich.  They then begin snuggling with a blanket that they pick up off the floor.,snuggling
133,0M7YH,Kitchen,CO1W,"A person opens a refrigerator, and begins drinking out of a jug of milk before closing it.",drinking
134,8EYHC,Living room,H8N1,A person is seen sitting on a chair. They are working on their laptop and begin sneezing.,sneezing
136,WB17C,Kitchen,6RE8,"A person opens the refrigerator and takes some groceries out, and starts cooking. They begin to sneeze uncontrollably.",cooking
137,AM3R2,Living room,L4ZP,"In the living room, a person is running around with a glass of coffee in one hand, and a pillow in the other hand.  Realizing how silly they look, they begin sitting down while throwing the pillow on the ground.",sitting
138,ZLRFB,Bedroom,54JK,A person is tidying up their bedroom while watching television. The person then grabs some clothes out of their wardrobe and starts getting dressed.,getting
140,LI5VF,Bedroom,6RE8,Person is walking to sink then puts bag with pillow in sink and starts laughing.,laughing
142,2CR09,Garage,RJOM,A person runs into their garage and begin dressing holding a bag. They grab the doorknob and leave.,dressing
143,OTT89,Bedroom,YMXV,A person is standing in the basement grasping a mirror. They person begins dressing and put on their shoes.,dressing
144,W74ZY,Living room,YMXV,"A person is standing in the doorway, undressing. The person sits down on the sofa. The person quickly jumps up, begins dressing, and leaves.",dressing
145,5F1AW,Closet / Walk-in closet / Spear closet,X5XO,A person puts a book down onto the shelf. The person takes out their phone and begins playing with it.,playing
147,5C837,Home Office / Study (A room in a house used for work),XKTB,A person smiles as they watch the door. The person picks up a book and begins reading it.,reading
148,K85A7,Other,3531,A person is snuggling with a pillow and looking at a laptop.  They begin sneezing.,sneezing
150,2KAWJ,Dining room,28B0,A person is drinking from a glass.  Then a person starts running towards the doorway because they forgot they left their keys in the door lock.,running
151,4HFN2,Kitchen,HR43,"A person is using a vacuum. They find a box by the door, and close it. Then they begin cooking.",cooking
152,JVXMI,Bedroom,QOQ4,A person takes out their phone and begins laughing at something. The person uses the camera on their phone to take a picture of something.,laughing
153,NYA5N,Home Office / Study (A room in a house used for work),BYF9,"A person stands in a home office, looking at pictures on their camera. The person begins laughing.",laughing
154,0PCAF,Bathroom,Z68L,A person is walking up to the bathroom sink.  The person then starts smiling while looking at the mirror.,smiling
158,XDT45,Recreation room / Man cave,ID9V,A person awakens and gets out of bed. They begin tidying the bed then leave out the door.,tidying
159,1ZB73,Home Office / Study (A room in a house used for work),6RE8,A person is laughing at a picture hanging on the wall of the garage. The person sits at a table and begins playing a game on their laptop.,playing
160,901GH,Home Office / Study (A room in a house used for work),YMXV,Opening the window in the hallway while holding a towel the person begins sneezing.,sneezing
161,CJP4R,Kitchen,ZSRZ,A person throws some food into a pan and begins cooking it on the stove. The person takes out a camera and takes a picture.,cooking
162,WAOE7,Kitchen,HR43,Person walking towards sandwich then starts putting it on glass plate and starts laughing.,putting
163,H8UJ3,Dining room,P6LJ,"A person turns on the lights to the dining room.  Smiling, the person sits down on a chair and begins reading a book.",reading
164,OHLSE,Living room,PKND,"A person opens the closet, takes a sandwich and some other groceries from the shelf, then closes the door. The person begins eating the sandwich.",eating
165,KX8VW,Bedroom,R1OT,"A person is seen holding food. They begin pouring themselves some water and start  drinking it, while sitting on the sofa.",pouring
167,DNB5L,Laundry room,KFGP,"A person grasps a box of laundry soap from the shelf, then pours the detergent into the machine and starts washing clothes.",washing
168,R2ZYS,Bedroom,QB52,Person is lying on couch watching television then starts laughing and drinking cup of coffee,laughing
170,YJFWW,Garage,YA10,"One person runs into the garage with a phone and a cup of coffee, then starts playing with the phone.",playing
171,6FSAH,Kitchen,PO5L,A person takes food out of the wrapper and begins cooking it on the stove. The person checks their phone.,cooking
172,82XPD,Bathroom,Z68L,"A person starts sneezing after taking off a pair of shoes and has to open the bathroom door, laughing the whole while.",sneezing
173,PH3R3,Dining room,WG9D,A person is seen watching videos on their laptop. They begin drinking coffee from a cup.,drinking
174,7C9RP,Bathroom,0KZ7,"A person turns on the light in the bathroom, begins undressing, and sees another person snuggling with a glass.",undressing
175,91SQ4,Garage,0RNU,Person is opening box full of clothes then starts running to doorway.,running
176,81QUM,Bedroom,YMXV,"Person is tidying up floor with broom, then starts throwing shoes and starts laughing.",throwing
177,MX9XB,Bedroom,8IB8,Person is sitting on chair opening bag of candy then starts throwing it at vacuum cleaner.,throwing
178,3UO56,Laundry room,XXN8,A person is putting some clothes away. The person starts smiling when they look in a mirror.,smiling
179,ZPUVC,Bedroom,P6LJ,"One person runs in through the doorway, grasps a bag from the wardrobe and starts undressing.",undressing
180,UGF6Q,Laundry room,OUKK,A person is washing clothes in the laundry room while holding a book. The person puts the book down on the shelf and begins folding a blanket.,folding
181,6QDZI,Bedroom,ZAWX,A person snuggles up to a towel in bed. The person opens a book and begins reading.,reading
182,67PZ0,Kitchen,XXN8,"A person walks into their kitchen eating a sandwich. The person turns on the kitchen light. The person grabs a glass, fills it with water, and begins drinking the water.",drinking
183,24XDE,Garage,YA10,A person puts a book on a shelf then begins dressing while smiling the whole time.,dressing
184,7JDU4,Basement (A room below the ground floor),X5XO,"A person runs into the basement and begins tidying the table. The person takes out a camera, and takes a picture.",tidying
185,0IAGO,Dining room,70CN,A person takes off their shoes before they begin trying to fix a light.,trying
188,C4MP2,Stairs,T7C3,A person is working on their homework on the stairs. The person takes a sandwich from their bag and stands up then begins leaving.,leaving
189,DG5TX,Entryway (A hall that is generally located at the entrance of a house),2RTW,"A person is watching something out of the window through a camera in the entryway to their home. The person  sets down the camera, and begins working on some paperwork.",working
190,KATDX,Bedroom,PKND,"One person runs in, grasps homework from a sofa and starts working. Another person is near the doorway drinking.",working
191,SC5YW,Bedroom,QB52,"A person is sitting on a sofa watching television when they begin laughing, then they get up and close their open cabinet.",laughing
192,VSAA7,Living room,D0RU,"After a long day working on homework at the desk, a person decided it was time to relax and begin snuggling under a blanket in the living room.",snuggling
193,SP6M4,Home Office / Study (A room in a house used for work),WG9D,A person is sitting at the desk working on their homework.  The person takes some food out of a bag and begins eating it.,eating
194,HFW6H,Dining room,18IT,"A laughing person begins undressing in the middle of their dining room, after setting down their coffee mug on top of a picture in a newspaper on the dining room table.  They throw their garments everywhere, before heading to the doorway of another room, grasping the door frame as they pass it.",undressing
195,4ZSAR,Garage,0RNU,"A person enters the garage through a door and starts tidying things up. They stop, pick up a cup of coffee, and sit in a chair.",tidying
197,P8OVC,Closet / Walk-in closet / Spear closet,0KZ7,A person is sitting on a pillow in the closet drinking a glass of water. The person picks up the dishes and begins leaving.,leaving
198,FNM5E,Garage,HJJ4,"A person is undress in the doorway, then they begin laughing and grab a doorknob and leave the room.",laughing
200,VKLP7,Kitchen,3531,A person is running up to the kitchen sink.  The person then starts watching the dishes next to the sink.,watching
201,KWQKH,Closet / Walk-in closet / Spear closet,PO5L,A person is seen drinking coffee. They begin opening the closet and take out a vacuum,opening
202,1O6PH,Bedroom,YMXV,A person is seen putting a pillow on a shelf. The person starts sneezing and then heads for the door.,sneezing
203,CLORP,Living room,2RTW,Person awakens from a nap on the couch.  Person turns on the television.  Person looks out of the window. Person then starts eating pizza from the table.  Person then sits back down and reads a book.,eating
204,9B9OE,Laundry room,Q4IF,"A person puts some clothes in the washing machine, then closes the door. The person takes out their phone and begins playing with it.",playing
205,RO3A2,Kitchen,UTMU,"A person runs into the kitchen and begins washing dishes in the sink. The person pulls up a chair, sits down, and continues washing.",washing
206,C1F1D,Closet / Walk-in closet / Spear closet,0KZ7,"Person is sitting on floor reading book and drinking coffee, then starts talking on phone and sneezing.",talking
207,DU7H1,Dining room,BYF9,A person is holding a cup of coffee while talking on the phone. The person puts the cup of coffee down and begins tidying the dining room table. The person starts to laugh and is smiling.,tidying
208,K4X20,Dining room,T7C3,"A person leaves a bag of groceries on the table in the dining room, grabs a glass of water and starts drinking it in the doorway.",drinking
209,S67HC,Garage,YA10,"While washing a chair, a person stands up on it, and then begins playing air guitar with a broom.",playing
210,QYMWC,Entryway (A hall that is generally located at the entrance of a house),XXN8,A person moves a pair of shoes before resuming vacuuming. Another person runs in and starts playing with their hair.,playing
211,0Z36L,Bedroom,YMXV,Person is undressing and putting clothes in bag then hangs bag on door knob then starts sneezing by window.,sneezing
212,CWPU8,Living room,OUKK,"A person is sitting in the basement playing a guitar in front of a mirror.  The person puts the guitar in the case and closes it, then picks up a broom from the corner and starts sweeping.",sweeping
213,CZY4Q,Bedroom,P6LJ,A person puts their phone onto a shelf. The person picks up a sandwich and begins eating it.,eating
214,QS6O1,Kitchen,PO5L,A person pours liquid into a cup then begins drinking it. Then the person puts food from the pantry into a bag.,drinking
215,R0M34,Kitchen,T7C3,"A person is standing by a stove cooking some food. The person opens the refrigerator, takes something out, and begins closing it.",closing
216,KFD4I,Living room,6RE8,Person begins removing and drinking beers stashed in a bag.  Once complete he begins tidying up the room while watching television.,removing
217,AGELP,Kitchen,L4ZP,One person opens a window and starts sneezing. Another person takes a bag and a camera and leaves the kitchen.,sneezing
218,282ZZ,Living room,KFGP,A person puts on their shoes. The person then stands next to a table and begins eating a sandwich.,eating
219,64IAU,Bedroom,YMXV,"One person is standing by a window when another person grasps the doorknob, opens it and starts laughing.",laughing
220,2VCOB,Pantry,1OHU,A person is opening a sandwich bag in the pantry then starts closing the refrigerator nearby.,closing
221,IFO3G,Bedroom,EA2K,A person is watching the stove carefully.  The person then begins laughing as they open a cabinet.,laughing
222,LNEAG,Laundry room,HR43,"Person is holding picture, then puts picture on top of pillow then starts laughing.",laughing
223,HP94W,Pantry,T7C3,Person is putting phone on shelf while snuggling with teddy bear then starts laughing.,laughing
224,OKVGK,Bedroom,XXN8,"The person enters the bedroom, closing the door and sitting at the desk. As the person begins undressing, they look seductively at themselves in the mirror",undressing
225,VY1GQ,Bathroom,6RE8,A person in a bathroom washes their hands in the sink while smiling at their reflection. The person starts laughing after looking out the window.,laughing
226,RBAO4,Living room,9Y7F,"Scene starts with a person walking home from work. The person opens the front door, sets their bag on the ground, and begins lying down on a couch while beginning to eat from a bag of potato chips.",lying
227,NIH53,Laundry room,PO5L,"A person is tidying the pantry. The person grasps a pair of shoes, but then sets them down to begin playing with their phone.",playing
228,15FVJ,Bedroom,L4ZP,Person enters the bedroom and throws a pillow on a bed.  Person then grabs a box of candy off the desk and lays down in the bed and begins eating the candy.,eating
229,NK9RX,Living room,FNK4,A person takes a camera and puts it by a laptop then they begin drinking from a cup.,drinking
230,SM0HI,Basement (A room below the ground floor),QB52,Person is snuggled up on a couch in the basement when the phone rings.  Person turns off the television and answers the phone and once the call is complete begins playing games on the same phone.,playing
231,ZGTP8,Stairs,Q4IF,A person is sitting on the stairs with a box. The person grasps a pen out of the box and begin sneezing. The person then looks in the mirror.,sneezing
232,GXZHG,Bedroom,6NQX,A person is working on homework and then starts running to the sofa.,running
233,FPQRX,Bedroom,ENC8,"One person awakens, throws a blanket towards the doorway, then smiles and starts getting dressed.",getting
234,HJM82,Hallway,XXN8,A person drinks a cup of coffee while they talk on the phone. The person begins laughing.,laughing
235,X1624,Bathroom,WG9D,"A person in a bathroom holding a broom and their phone puts down their phone and sneezes, then begins undressing",undressing
236,IUVT3,Bathroom,KFGP,A person is opening the bathroom door.  Then the person starts grasping at the light.,grasping
237,GC7L9,Bedroom,6RE8,A person goes to the window and opens it. Then the person turns and starts grasping groceries off the counter.,grasping
238,5ZHOX,Kitchen,UD06,"A person is standing in front of the refrigerator. The person begins taking dishes out of it, sneezing as the person does so.",taking
239,WYM1M,Dining room,D0RU,A person is taking a dosage of medicine. Another person walks in and begins playing a game on their cell phone.,playing
240,A8LZE,Entryway (A hall that is generally located at the entrance of a house),8718,A person smiles as they walk through the doorway and close the door. The person pulls out their camera and starts playing with it.,playing
241,RYDUK,Closet / Walk-in closet / Spear closet,R1OT,A person begins undressing then puts the clothes in the closet. The person then grabs a broom and begins to tidy up.,undressing
242,L2HI2,Closet / Walk-in closet / Spear closet,0KZ7,"Two people run through, playing at throwing a towel back and forth. One person, wrapped in a blanket, starts sneezing.",sneezing
243,JZDL6,Bedroom,Z68L,Person looks in mirror then walks to closet grabs box of shoes puts them on and starts walking.,walking
244,3SKPS,Home Office / Study (A room in a house used for work),JVLO,"One person grasps medicine from a small table and starts pouring it, while another works on a laptop.",pouring
245,P2EM5,Home Office / Study (A room in a house used for work),Z68L,A person is holding a pillow close to their chest.  The person then starts snuggling with it near the door.,snuggling
246,PDA4B,Living room,C7O9,A person is sitting on the sofa and awakens from sleep.  The person begins laughing when they look down at their phone.,laughing
247,0W39H,Living room,KQI6,A person is pouring fresh coffee into their glass. This person then sits down and begins working on their computer.,working
249,FYDYO,Pantry,ZAWX,"A person is sitting in their pantry. They start looking up at the light and begin sneezing. Afterwards, they use their camera to take a picture of themselves.",sneezing
250,Z2A7Q,Bedroom,2RTW,"A person walks into the home office, running. The person looks around wildly at the book shelf, and starts throwing all the books on the ground. The person stops mid movement, and looks at the armchair in the corner with the decorative pillow. They walk towards it, and throw the pillow aside to find their keys resting on the armchair.",throwing
251,107YZ,Bedroom,QB52,"A person awakens in their bed. They look at the time and put the pillow over their face for a few seconds before reluctantly getting up. They go over to their wardrobe, pick out some clothes and begin dressing.",dressing
252,U72GG,Laundry room,UTMU,A person is washing a pair of shoes.  The person then starts watching a video on their laptop.,watching
253,2U0QT,Living room,2RTW,"In the rec room, there is a cabinet. A person opens the cabinet door, grabs a glass and starts drinking, and then closes the door.",drinking
254,72HTA,Laundry room,ZAWX,A person in a basement begins undressing. They take clothes off a table and put them in the washer then close the washer.,undressing
255,YQ9ML,Closet / Walk-in closet / Spear closet,LTAC,"A person runs into the closet and picks up a glass of water from the cabinet.  The person sneezes, then fixes their hair and takes a drink.  The person takes their phone out of their pocket and starts playing a game.",playing
257,IN2RL,Living room,9PLL,A person in their living room is watching the television. They begin throwing a box around the room while playing on their phone.,throwing
258,AERV9,Recreation room / Man cave,UTMU,A person in their recreation room is playing with their laptop that is lying on top of a chair. They begin drinking some coffee.,drinking
259,0CYBW,Kitchen,0R3Y,The person begins laughing while opening the bag of food and looking in the mirror.,laughing
260,I713Z,Kitchen,4OHY,A person is playing on their laptop. A person is holding a bag of groceries as the person begins opening the fridge.,opening
